RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
2322,2019_04_10 10:11:33,-2.2751,-1.8437,8.0807,32.85,32.95,7.08,660,960
2323,2019_04_10 10:11:34,0.0785,-3.6088,7.5707,32.85,32.89,6.348,660,900
2324,2019_04_10 10:11:35,2.1967,-3.295,8.8652,32.83,32.89,6.738,660,900
2325,2019_04_10 10:11:36,0.6669,-0.3138,8.2768,32.83,32.89,6.836,720,900
2326,2019_04_10 10:11:37,1.5691,-2.5497,7.2961,32.85,32.97,6.592,660,900
2327,2019_04_10 10:11:38,-1.2553,-1.5691,8.0807,32.85,32.99,6.836,660,900
2328,2019_04_10 10:11:39,0.353,-0.5492,8.2768,32.85,32.97,6.299,660,900
2329,2019_04_10 10:11:40,-6.0409,-2.1575,8.1591,32.85,33.03,6.836,690,900
2330,2019_04_10 10:11:41,-1.6867,-3.0204,8.6691,32.87,32.99,6.982,690,900
2331,2019_04_10 10:11:42,7.8453,-0.4315,7.6884,32.89,32.99,6.104,660,900
2332,2019_04_10 10:11:43,14.7884,2.3144,7.8061,32.85,32.99,6.494,660,900
2333,2019_04_10 10:11:44,2.432,1.8437,7.2961,32.87,33.03,7.031,660,900
2334,2019_04_10 10:11:45,-0.0785,-5.7663,9.0613,32.89,33.03,6.641,660,900
2335,2019_04_10 10:11:46,0.4315,-2.942,9.4536,32.85,32.99,6.641,720,900
2336,2019_04_10 10:11:47,0.3138,-0.9414,8.2768,32.89,33.11,6.641,660,900
2337,2019_04_10 10:11:48,-1.1376,7.9238,7.0608,32.83,32.97,6.836,660,900
2338,2019_04_10 10:11:49,1.8044,3.4127,6.9431,32.85,33.03,6.494,660,900
2339,2019_04_10 10:11:50,3.8834,3.9227,5.884,32.89,33.13,6.25,660,900
2340,2019_04_10 10:11:51,1.4906,-0.7845,7.1785,32.91,33.13,6.543,690,900
2341,2019_04_10 10:11:52,0.2746,-0.3138,7.7669,32.87,33.07,6.348,690,900
2342,2019_04_10 10:11:53,1.1768,-1.7652,7.8061,32.89,33.13,6.494,660,900
2343,2019_04_10 10:11:54,0.2746,-1.4122,8.0807,32.89,33.17,6.396,660,900
2344,2019_04_10 10:11:55,1.9613,-0.1961,7.8061,32.87,33.07,6.445,660,900
2345,2019_04_10 10:11:56,0.5492,-1.6867,8.4729,32.89,33.17,6.885,660,900
2346,2019_04_10 10:11:57,0.7061,-1.1768,8.1591,32.87,33.07,6.787,660,900
2347,2019_04_10 10:11:58,3.8442,1.9613,7.5315,32.87,33.11,6.152,660,900
2348,2019_04_10 10:11:59,-0.7061,-3.0204,8.3553,32.87,33.13,6.836,720,900
2349,2019_04_10 10:12:00,3.4912,0.4315,8.1984,32.91,33.19,6.25,660,870
2350,2019_04_10 10:12:01,-1.8044,-2.3928,8.3945,32.91,33.13,6.25,660,870
2351,2019_04_10 10:12:02,1.3337,-0.5099,7.4923,32.89,33.17,6.445,660,900
2352,2019_04_10 10:12:03,-0.7061,-0.8238,7.1392,32.89,33.21,6.152,660,900
2353,2019_04_10 10:12:04,1.3337,-1.216,6.9431,32.91,33.17,6.494,660,900
2354,2019_04_10 10:12:05,0.5884,3.295,6.7077,32.91,33.19,7.178,660,900
2355,2019_04_10 10:12:06,2.3928,-1.4514,8.1199,32.89,33.25,6.104,660,900
2356,2019_04_10 10:12:07,2.589,0.1177,7.5707,32.91,33.27,6.543,660,900
